source,target,edge_type,weight,n_papers
n00181,n00014,EXHIBITS_MICRO,1,1
n00181,n00033,EXHIBITS_MICRO,1,1
n00181,n00015,EXHIBITS_MICRO,1,1
n00181,n00016,EXHIBITS_MICRO,1,1
n00181,n00034,EXHIBITS_MICRO,1,1
n00181,n00017,EXHIBITS_MICRO,1,1
n00181,n00018,EXHIBITS_MICRO,1,1
n00181,n00045,EXHIBITS_MICRO,1,1
n00181,n00019,EXHIBITS_MICRO,1,1
n00181,n00107,EXHIBITS_MICRO,1,1
n00181,n00021,MEASURES_PROPERTY,1,1
n00181,n00022,MEASURES_PROPERTY,1,1
n00181,n00047,MEASURES_PROPERTY,1,1
n00181,n00066,MEASURES_PROPERTY,1,1
n00181,n00023,MEASURES_PROPERTY,1,1
n00181,n00050,MEASURES_PROPERTY,1,1
n00181,n00024,MEASURES_PROPERTY,1,1
n00181,n00086,STUDIES_ALLOY,1,1
n00181,n00182,STUDIES_ALLOY,1,1
n00183,n00002,HAS_ELEMENT,1,1
n00183,n00005,HAS_ELEMENT,1,1
n00183,n00007,HAS_ELEMENT,1,1
n00183,n00004,HAS_ELEMENT,1,1
n00183,n00009,HAS_ELEMENT,1,1
n00183,n00041,INVOLVES_PROCESS,1,1
n00183,n00042,INVOLVES_PROCESS,1,1
n00183,n00011,INVOLVES_PROCESS,1,1
n00183,n00059,INVOLVES_PROCESS,1,1
n00183,n00060,INVOLVES_PROCESS,1,1
n00183,n00061,INVOLVES_PROCESS,1,1
n00183,n00043,INVOLVES_PROCESS,1,1
n00183,n00084,INVOLVES_PROCESS,1,1
n00183,n00013,EXHIBITS_MICRO,1,1
n00183,n00014,EXHIBITS_MICRO,1,1
n00183,n00044,EXHIBITS_MICRO,1,1
n00183,n00085,EXHIBITS_MICRO,1,1
n00183,n00033,EXHIBITS_MICRO,1,1
n00183,n00063,EXHIBITS_MICRO,1,1
n00183,n00034,EXHIBITS_MICRO,1,1
n00183,n00017,EXHIBITS_MICRO,1,1
n00183,n00018,EXHIBITS_MICRO,1,1
n00183,n00045,EXHIBITS_MICRO,1,1
n00183,n00046,MEASURES_PROPERTY,1,1
n00183,n00021,MEASURES_PROPERTY,1,1
n00183,n00022,MEASURES_PROPERTY,1,1
n00183,n00072,MEASURES_PROPERTY,1,1
n00183,n00047,MEASURES_PROPERTY,1,1
n00183,n00066,MEASURES_PROPERTY,1,1
n00183,n00023,MEASURES_PROPERTY,1,1
n00183,n00050,MEASURES_PROPERTY,1,1
n00183,n00075,STUDIES_ALLOY,1,1
n00183,n00026,STUDIES_ALLOY,1,1
n00183,n00074,STUDIES_ALLOY,1,1
n00061,n00013,PROCESS_LEADS_TO_MICRO,9,1
n00061,n00014,PROCESS_LEADS_TO_MICRO,8,1
n00061,n00044,PROCESS_LEADS_TO_MICRO,4,0
n00061,n00085,PROCESS_LEADS_TO_MICRO,5,1
n00061,n00033,PROCESS_LEADS_TO_MICRO,5,0
n00061,n00017,PROCESS_LEADS_TO_MICRO,9,1
n00061,n00018,PROCESS_LEADS_TO_MICRO,8,1
n00184,n00002,HAS_ELEMENT,1,1
n00184,n00005,HAS_ELEMENT,1,1
